Rv_ID	gene_name	Description	Expt	log2FC	q-val	q_val_D	UK_score_4
Rv0030	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.17	0.97527	1	4
Rv0031	-	Possible remnant of a transposase	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	3
Rv0032	bioF2	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.28	1	1	0
Rv0033	acpA	Probable acyl carrier protein AcpA (ACP)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.19	1	1	0
Rv0034	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.18	1	1	4
Rv0035	fadD34	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	nambi_2015_ctpC_vs_nambi_2015_wt	0.41	0.97527	1	1
Rv0036c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.35	0.75756	1	4
Rv0037c	-	Probable conserved integral membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.2	0.77116	1	3
Rv0038	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.33	1	1	3
Rv0039c	-	Possible conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.3	1	1	4
Rv0040c	mtc28	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	nambi_2015_ctpC_vs_nambi_2015_wt	2.67	0.28605	1	3
Rv0041	leuS	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0042c	-	Possible transcriptional regulatory protein (probably MarR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	-1.55	0.87129	1	2
Rv0043c	-	Probable transcriptional regulatory protein (probably GntR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.32	1	1	1
Rv0044c	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.16	1	1	2
Rv0045c	-	Possible hydrolase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.55	0.97527	1	3
Rv0046c	ino1	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	1
Rv0047c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.78	0.62087	1	3
Rv0048c	-	Possible membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.96	0.86321	1	4
Rv0049	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.38	1	1	4
Rv0050	ponA1	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.46	0.97527	1	0
Rv0051	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.84	0.62087	1	3
Rv0052	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.87	0.93908	1	4
Rv0053	rpsF	30S ribosomal protein S6 RpsF	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0054	ssb	Single-strand binding protein Ssb (helix-destabilizing protein)	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0055	rpsR1	30S ribosomal protein S18-1 RpsR1	nambi_2015_ctpC_vs_nambi_2015_wt	-2.99	0.97527	1	0
Rv0056	rplI	50S ribosomal protein L9 RplI	nambi_2015_ctpC_vs_nambi_2015_wt	-1.56	1	1	0
Rv0057	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.35	1	1	4
Rv0058	dnaB	Probable replicative DNA helicase DnaB	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0059	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.78	0.91716	1	4
Rv0060	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.37	1	1	4
Rv0061c	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.21	1	1	
Rv0062	celA1	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.59	0.97527	1	0
Rv0063	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.72	0.86887	1	2
Rv0064	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.83	0.57283	1	3
Rv0064A	vapB1	Possible antitoxin VapB1	nambi_2015_ctpC_vs_nambi_2015_wt	0.17	1	1	
Rv0065	vapC1	Possible toxin VapC1	nambi_2015_ctpC_vs_nambi_2015_wt	-1.01	1	1	3
Rv0066c	icd2	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	nambi_2015_ctpC_vs_nambi_2015_wt	1.53	0.01552	2	0
Rv0067c	-	Possible transcriptional regulatory protein (possibly TetR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	0.74	0.91607	1	1
Rv0068	-	Probable oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.09	1	1	3
Rv0069c	sdaA	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	nambi_2015_ctpC_vs_nambi_2015_wt	0.1	1	1	0
Rv0070c	glyA2	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.91	0.84385	1	0
Rv0071	-	Possible maturase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.51	1	1	2
Rv0072	-	Probable glutamine-transport transmembrane protein ABC transporter	nambi_2015_ctpC_vs_nambi_2015_wt	-0.49	0.97527	1	1
Rv0073	-	Probable glutamine-transport ATP-binding protein ABC transporter	nambi_2015_ctpC_vs_nambi_2015_wt	-0.46	1	1	1
Rv0074	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.48	0.23125	1	3
Rv0075	-	Probable aminotransferase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.04	1	1	2
Rv0076c	-	Probable membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.18	1	1	3
Rv0077c	-	Probable oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.43	1	1	3
Rv0078	-	Probable transcriptional regulatory protein	nambi_2015_ctpC_vs_nambi_2015_wt	5.88	0.1779	1	1
Rv0078A	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.25	0.87447	1	3
Rv0078B	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.28	1	1	
Rv0079	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.34	0.43268	1	3
Rv0080	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.78	0.99903	1	4
Rv0081	-	Probable transcriptional regulatory protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.42	0.70495	1	1
Rv0082	-	Probable oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	5.94	0.41461	1	2
Rv0083	-	Probable oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	0.34	0.99057	1	2
Rv0084	hycD	Possible formate hydrogenlyase HycD (FHL)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.33	1	1	0
Rv0085	hycP	Possible hydrogenase HycP	nambi_2015_ctpC_vs_nambi_2015_wt	1.77	0.89571	1	0
Rv0086	hycQ	Possible hydrogenase HycQ	nambi_2015_ctpC_vs_nambi_2015_wt	-0.13	1	1	0
Rv0087	hycE	Possible formate hydrogenase HycE (FHL)	nambi_2015_ctpC_vs_nambi_2015_wt	-1.36	0.86887	1	0
Rv0088	-	Possible polyketide cyclase/dehydrase	nambi_2015_ctpC_vs_nambi_2015_wt	-4.02	0.14808	1	3
Rv0089	-	Possible methyltransferase/methylase	nambi_2015_ctpC_vs_nambi_2015_wt	1.11	0.87089	1	2
Rv0090	-	Possible membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.72	0.95051	1	3
Rv0091	mtn	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	nambi_2015_ctpC_vs_nambi_2015_wt	-1.71	0.46435	1	1
Rv0092	ctpA	Cation transporter P-type ATPase a CtpA	nambi_2015_ctpC_vs_nambi_2015_wt	1.77	0.07445	1	0
Rv0093c	-	Probable conserved membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.84	1	1	4
Rv0094c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.39	0.90842	1	3
Rv0095c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-6.54	0.5602	1	3
Rv0096	PPE1	PPE family protein PPE1	nambi_2015_ctpC_vs_nambi_2015_wt	-0.71	0.97527	1	2
Rv0097	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.55	0.89383	1	3
Rv0098	fcoT	Probable fatty acyl CoA thioesterase type III FcoT	nambi_2015_ctpC_vs_nambi_2015_wt	-1.28	0.89571	1	2
Rv0099	fadD10	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	nambi_2015_ctpC_vs_nambi_2015_wt	0.59	0.97527	1	1
Rv0100	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	2.53	0.92086	1	3
Rv0101	nrp	Probable peptide synthetase Nrp (peptide synthase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.28	0.97527	1	0
Rv0102	-	Probable conserved integral membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-3.36	1	1	3
Rv0103c	ctpB	Probable cation-transporter P-type ATPase B CtpB	nambi_2015_ctpC_vs_nambi_2015_wt	-0.13	1	1	0
Rv0104	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.21	1	1	3
Rv0105c	rpmB1	50S ribosomal protein L28-1 RpmB1	nambi_2015_ctpC_vs_nambi_2015_wt	0.17	1	1	0
Rv0106	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.05	1	1	4
Rv0107c	ctpI	Probable cation-transporter ATPase I CtpI	nambi_2015_ctpC_vs_nambi_2015_wt	-0.59	0.87996	1	0
Rv0108c	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.24	0.97527	1	4
Rv0109	PE_PGRS1	PE-PGRS family protein PE_PGRS1	nambi_2015_ctpC_vs_nambi_2015_wt	-1.58	0.30524	1	2
Rv0110	-	Probable conserved integral membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.01	1	1	3
Rv0111	-	Possible transmembrane acyltransferase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.52	0.87129	1	2
Rv0112	gca	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.14	1	1	0
Rv0113	gmhA	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	nambi_2015_ctpC_vs_nambi_2015_wt	1.42	0.86321	1	0
Rv0114	gmhB	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.45	0.97527	1	0
Rv0115	hddA	Possible D-alpha-D-heptose-7-phosphate kinase HddA	nambi_2015_ctpC_vs_nambi_2015_wt	-0.08	1	1	2
Rv0116c	ldtA	Probable L,D-transpeptidase LdtA	nambi_2015_ctpC_vs_nambi_2015_wt	-1.49	0.87996	1	2
Rv0117	oxyS	Oxidative stress response regulatory protein OxyS	nambi_2015_ctpC_vs_nambi_2015_wt	1.68	0.62087	1	0
Rv0118c	oxcA	Probable oxalyl-CoA decarboxylase OxcA	nambi_2015_ctpC_vs_nambi_2015_wt	-1.32	0.73771	1	0
Rv0119	fadD7	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	nambi_2015_ctpC_vs_nambi_2015_wt	3.91	0.86887	1	1
Rv0120c	fusA2	Probable elongation factor G FusA2 (EF-G)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.32	1	1	0
Rv0121c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.04	1	1	4
Rv0122	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.28	0.97527	1	4
Rv0123	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.53	1	1	4
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	nambi_2015_ctpC_vs_nambi_2015_wt	1.83	0.39305	1	2
Rv0125	pepA	Probable serine protease PepA (serine proteinase) (MTB32A)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.91	1	1	1
Rv0126	treS	Trehalose synthase TreS	nambi_2015_ctpC_vs_nambi_2015_wt	2.57	0	3	0
Rv0127	mak	Maltokinase Mak	nambi_2015_ctpC_vs_nambi_2015_wt	6.01	0	3	1
Rv0128	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.32	1	1	4
Rv0129c	fbpC	Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.04	1	1	1
Rv0130	htdZ	Probable 3-hydroxyl-thioester dehydratase	nambi_2015_ctpC_vs_nambi_2015_wt	0.22	1	1	2
Rv0131c	fadE1	Probable acyl-CoA dehydrogenase FadE1	nambi_2015_ctpC_vs_nambi_2015_wt	-0.75	1	1	1
Rv0132c	fgd2	Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2	nambi_2015_ctpC_vs_nambi_2015_wt	-1.16	0.7258	1	0
Rv0133	-	GCN5-related N-acetyltransferase	nambi_2015_ctpC_vs_nambi_2015_wt	0.39	1	1	3
Rv0134	ephF	Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.77	0.90548	1	1
Rv0135c	-	Possible transcriptional regulatory protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.38	1	1	1
Rv0136	cyp138	Probable cytochrome P450 138 Cyp138	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0137c	msrA	Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.57	0.97527	1	0
Rv0138	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.35	1	1	4
Rv0139	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	0.14	1	1	2
Rv0140	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.83	0.95575	1	4
Rv0141c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.59	1	1	4
Rv0142	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.79	0.98093	1	3
Rv0143c	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.22	1	1	2
Rv0144	-	Probable transcriptional regulatory protein (possibly TetR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	1.12	0.43268	1	1
Rv0145	-	Possible S-adenosylmethionine-dependent methyltransferase	nambi_2015_ctpC_vs_nambi_2015_wt	0.43	0.97527	1	2
Rv0146	-	Possible S-adenosylmethionine-dependent methyltransferase	nambi_2015_ctpC_vs_nambi_2015_wt	0.67	0.91607	1	2
Rv0147	-	Probable aldehyde dehydrogenase (NAD+) dependent	nambi_2015_ctpC_vs_nambi_2015_wt	0.06	1	1	2
Rv0148	-	Probable short-chain type dehydrogenase/reductase	nambi_2015_ctpC_vs_nambi_2015_wt	0.13	1	1	3
Rv0149	-	Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.87	0.76844	1	2
Rv0150c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	4.18	0.83844	1	4
Rv0151c	PE1	PE family protein PE1	nambi_2015_ctpC_vs_nambi_2015_wt	-0.41	0.88578	1	2
Rv0152c	PE2	PE family protein PE2	nambi_2015_ctpC_vs_nambi_2015_wt	0.33	0.90818	1	2
Rv0153c	ptbB	Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)	nambi_2015_ctpC_vs_nambi_2015_wt	-3.45	0.45878	1	0
Rv0154c	fadE2	Probable acyl-CoA dehydrogenase FadE2	nambi_2015_ctpC_vs_nambi_2015_wt	-2.12	0.48678	1	1
Rv0155	pntAa	Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	nambi_2015_ctpC_vs_nambi_2015_wt	3.57	0	3	0
Rv0156	pntAb	Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	nambi_2015_ctpC_vs_nambi_2015_wt	2.31	0.94612	1	0
Rv0157	pntB	Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta)	nambi_2015_ctpC_vs_nambi_2015_wt	3.16	0	3	0
Rv0157A	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.61	0.84385	1	
Rv0158	-	Probable transcriptional regulatory protein (possibly TetR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	2.06	0	3	1
Rv0159c	PE3	PE family protein PE3	nambi_2015_ctpC_vs_nambi_2015_wt	-0.11	1	1	2
Rv0160c	PE4	PE family protein PE4	nambi_2015_ctpC_vs_nambi_2015_wt	0.18	1	1	2
Rv0161	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	0.03	1	1	2
Rv0162c	adhE1	Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1	nambi_2015_ctpC_vs_nambi_2015_wt	2.73	0.37528	1	0
Rv0163	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.1	1	1	3
Rv0164	TB18.5	Conserved protein TB18.5	nambi_2015_ctpC_vs_nambi_2015_wt	0.13	1	1	2
Rv0165c	mce1R	Probable transcriptional regulatory protein Mce1R (probably GntR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.1	1	1	0
Rv0166	fadD5	Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	nambi_2015_ctpC_vs_nambi_2015_wt	0.3	0.98346	1	1
Rv0167	yrbE1A	Conserved integral membrane protein YrbE1A	nambi_2015_ctpC_vs_nambi_2015_wt	-0.48	1	1	1
Rv0168	yrbE1B	Conserved integral membrane protein YrbE1B	nambi_2015_ctpC_vs_nambi_2015_wt	-1.03	0.82708	1	1
Rv0169	mce1A	Mce-family protein Mce1A	nambi_2015_ctpC_vs_nambi_2015_wt	-1.13	0.28962	1	1
Rv0170	mce1B	Mce-family protein Mce1B	nambi_2015_ctpC_vs_nambi_2015_wt	0.56	0.86189	1	1
Rv0171	mce1C	Mce-family protein Mce1C	nambi_2015_ctpC_vs_nambi_2015_wt	-0.98	0.57408	1	1
Rv0172	mce1D	Mce-family protein Mce1D	nambi_2015_ctpC_vs_nambi_2015_wt	-1.52	0.11813	1	1
Rv0173	lprK	Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.47	0.97527	1	1
Rv0174	mce1F	Mce-family protein Mce1F	nambi_2015_ctpC_vs_nambi_2015_wt	-0.02	1	1	1
Rv0175	-	Probable conserved Mce associated membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.47	0.97527	1	4
Rv0176	-	Probable conserved Mce associated transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.11	1	1	4
Rv0177	-	Probable conserved Mce associated protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.38	0.90092	1	4
Rv0178	-	Probable conserved Mce associated membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.37	1	1	4
Rv0179c	lprO	Possible lipoprotein LprO	nambi_2015_ctpC_vs_nambi_2015_wt	-0.65	0.97527	1	2
Rv0180c	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	1.42	0.03153	2	3
Rv0181c	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.34	0.06727	1	4
Rv0182c	sigG	Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor)	nambi_2015_ctpC_vs_nambi_2015_wt	-0.82	0.97527	1	0
Rv0183	-	Possible lysophospholipase	nambi_2015_ctpC_vs_nambi_2015_wt	-3.26	0	3	2
Rv0184	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-1.03	0.89571	1	4
Rv0185	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.67	1	1	4
Rv0186	bglS	Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase)	nambi_2015_ctpC_vs_nambi_2015_wt	-1.01	0.82781	1	0
Rv0186Ac	-		nambi_2015_ctpC_vs_nambi_2015_wt	0.65	0.97527	1	
Rv0187	-	Probable O-methyltransferase	nambi_2015_ctpC_vs_nambi_2015_wt	-0.77	0.97527	1	2
Rv0188	-	Probable conserved transmembrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	-2.1	0.66527	1	3
Rv0189c	ilvD	Probable dihydroxy-acid dehydratase IlvD (dad)	nambi_2015_ctpC_vs_nambi_2015_wt	0	1	1	0
Rv0190	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	3.63	0.18202	1	4
Rv0191	-	Probable conserved integral membrane protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.07	1	1	2
Rv0192	-	hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.4	0.97527	1	4
Rv0192A	-	Conserved secreted protein	nambi_2015_ctpC_vs_nambi_2015_wt	4.04	0.51853	1	3
Rv0193c	-	Hypothetical protein	nambi_2015_ctpC_vs_nambi_2015_wt	0.52	0.7611	1	4
Rv0194	-	Probable transmembrane multidrug efflux pump	nambi_2015_ctpC_vs_nambi_2015_wt	-0.1	1	1	1
Rv0195	-	Possible two component transcriptional regulatory protein (probably LuxR-family)	nambi_2015_ctpC_vs_nambi_2015_wt	0.76	0.97527	1	1
Rv0196	-	Possible transcriptional regulatory protein	nambi_2015_ctpC_vs_nambi_2015_wt	-0.58	1	1	1
Rv0197	-	Possible oxidoreductase	nambi_2015_ctpC_vs_nambi_2015_wt	0.3	1	1	3
Rv0198c	zmp1	Probable zinc metalloprotease Zmp1	nambi_2015_ctpC_vs_nambi_2015_wt	-0.45	0.97527	1	1
