column_ID_std	column_ID_SI	num replicates control	num replicates experimental	meaning	paper_title	paper_URL	in vitro/cell/in vivo	in vitro media	carbon source	stress	GI_RvID	GI_name	Microarray or TnSeq	mouse strain	cell type	Mtb strain	plot_SI_graph
zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10		3	4	Mutants exhibiting altered fitness in immunodeficient mice after 10 days	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vivo	-	-				TnSeq	MHCII−/−		H37Rv	
zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45	2013_Zhang_2	3	4	Mutants exhibiting altered fitness in immunodeficient mice after 45 days	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vivo	-	-				TnSeq	MHCII−/−		H37Rv	No
zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5	2013_Zhang_3A	3	3	Mutants exhibiting altered fitness under acid stress	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	acid stress			TnSeq			H37Rv	No
zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5	2013_Zhang_3B	3	3	Mutants exhibiting altered fitness under acid stress in phosphate-citrate buffer	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	acid stress in phosphate-citrate buffer			TnSeq			H37Rv	No
zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control	2013_Zhang_3C	2	3	Mutants exhibiting altered fitness under NO stress	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	nitrosative (NO) stress			TnSeq			H37Rv	No
zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue	2013_Zhang_3D	1	1	Mutants exhibiting altered fitness under tryptophan starvation	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	tryptophan starvation			TnSeq			H37Rv	No
zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue		1	1	Mutants exhibiting altered fitness under amino acid starvation	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	amino acid starvation			TnSeq			H37Rv	
zhang_Fe_1.5mM_vs_zhang_Fe_450uM		2	2	Mutants exhibiting altered fitness under high iron concentrations	Tryptophan biosynthesis protects mycobacteria from CD4 T cell-mediated killing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3902092/	in_vitro	7H10	glycerol	high iron concentrations			TnSeq			H37Rv	
kieser_dPonA1_vs_mbio_H37Rv	2015_Kieser_GI_1	14	1	Mutants exhibiting altered fitness in the absence of gene ponA1, a major peptidoglycan biosynthetic enzyme. 	Peptidoglycan synthesis in Mycobacterium tuberculosis is organized into networks with varying drug susceptibility	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4620856/	in_vitro	7H10	glycerol		Rv0050	ponA1	TnSeq			H37Rv	Yes
	2015_Kieser_GI_2			Mutants exhibiting altered fitness in the absence of gene ponA2, a major peptidoglycan biosynthetic enzyme	Peptidoglycan synthesis in Mycobacterium tuberculosis is organized into networks with varying drug susceptibility	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4620856/	in_vitro	7H10	glycerol		Rv3682	ponA2	TnSeq			H37Rv	Yes
	2015_Kieser_GI_3			Mutants exhibiting altered fitness in the absence of gene ldtB	Peptidoglycan synthesis in Mycobacterium tuberculosis is organized into networks with varying drug susceptibility	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4620856/	in_vitro	7H10	glycerol		Rv2518c	ldtB	TnSeq			H37Rv	Yes
	2015_Mendum				Lipid metabolism and Type VII secretion systems dominate the genome scale virulence profile of Mycobacterium tuberculosis in human dendritic cells.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4425887/	in_cell						TnSeq		DC	clinical W-Beijing strain (GC1237)	No
nambi_2015_ctpC_vs_nambi_2015_wt	2016_Nambi	2	2	Mutants exhibiting altered fitness in mouse infection model (spleen) in the absence of gene ctpC	The oxidative stress network of Mycobacterium tuberculosis reveals coordination between radical detoxification systems	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4465913/	in_vivo				Rv3270	ctpC	TnSeq			H37Rv	Yes
korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9	2016_Korte	1	1	Mutants exhibiting altered fitness in trehalose in the absence of gene otsA	Trehalose-6-Phosphate-Mediated Toxicity Determines Essentiality of OtsB2 in Mycobacterium tuberculosis In Vitro and in Mice	https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1006043	in_vitro	7H9 with 500uM trehalose	glycerol		Rv3490	otsA	TnSeq			H37Rv	No
dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0		2	3		Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo						TnSeq			H37Rv	
dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0		2	3	Mutants exhibiting altered fitness in the absence of gene Rv1432	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1432		TnSeq			H37Rv	
dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0		3	3	Mutants exhibiting altered fitness in the absence of gene Rv1432 (measured after 32 days of growth)	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1432		TnSeq			H37Rv	
dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32		3	3	Mutants exhibiting altered fitness in the absence of gene Rv1432	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1432		TnSeq			H37Rv	
	2017B_DeJesus_1A			Mutants exhibiting altered fitness in the absence of gene Rv1432	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1432		TnSeq			H37Rv	Yes
dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0		2	2	Mutants exhibiting altered fitness in the absence of gene Rv1565c 	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1565c		TnSeq			H37Rv	
dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0		2	3	Mutants exhibiting altered fitness in the absence of gene Rv1565c (measured after 32 days of growth)	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1565c		TnSeq			H37Rv	
dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32		3	3	Mutants exhibiting altered fitness in the absence of gene Rv1565c	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1565c		TnSeq			H37Rv	
	2017B_DeJesus_1B			Mutants exhibiting altered fitness in the absence of gene Rv1565c	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv1565c		TnSeq			H37Rv	Yes
dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0		2	2	Mutants exhibiting altered fitness in the absence of gene Rv2680	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv2680		TnSeq			H37Rv	
dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0		2	3	Mutants exhibiting altered fitness in the absence of gene Rv2680 (measured after 32 days of growth)	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv2680		TnSeq			H37Rv	
dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32		3	3	Mutants exhibiting altered fitness in the absence of gene Rv2680	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv2680		TnSeq			H37Rv	
	2017B_DeJesus_1C			Mutants exhibiting altered fitness in the absence of gene Rv2680	Statistical analysis of genetic interactions in Tn-Seq data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5499643/	in_vivo				Rv2680		TnSeq			H37Rv	Yes
xu_van_16_vs_xu_van_0	2017_Xu_1A	3	3	Mutants exhibiting altered fitness in presence of vancomycin	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Vancomycin			TnSeq			H37Rv	Yes
xu_rif_4_vs_xu_rif_0	2017_Xu_1B	3	3	Mutants exhibiting altered fitness in presence of rifampin	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Rifampicin			TnSeq			H37Rv	Yes
xu_inh_02_vs_xu_inh_0	2017_Xu_1C	4	3	Mutants exhibiting altered fitness in presence of isoniazid	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Isoniazid			TnSeq			H37Rv	Yes
xu_inh_025_vs_xu_inh_0		4	3	Mutants exhibiting altered fitness in presence of isoniazid	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Isoniazid			TnSeq			H37Rv	
xu_emb_2.5_vs_xu_emb_0	2017_Xu_1D	3	3	Mutants exhibiting altered fitness in presence of ethambutol	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Ethambutol			TnSeq			H37Rv	Yes
xu_emb_3_vs_xu_emb_0		3	3	Mutants exhibiting altered fitness in presence of ethambutol	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Ethambutol			TnSeq			H37Rv	
xu_mero_2.5_vs_xu_mero_0	2017_Xu_1E	2	2	Mutants exhibiting altered fitness in presence of meropenem	Chemical Genetic Interaction Profiling Reveals Determinants of Intrinsic Antibiotic Resistance in Mycobacterium tuberculosis	https://aac.asm.org/content/61/12/e01334-17	in_vitro	7H9	glycerol	Meropenem			TnSeq			H37Rv	Yes
mishra_C3H_vs_mishra_B6	2017_Mishra_1	3	2		Nitric oxide prevents a pathogen-permissive granulocytic inflammation during tuberculosis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5461879/	in_vivo						TnSeq	C3HeB		H37Rv	Yes
mishra_NOS2_vs_mishra_B6	2017_Mishra_2	3	2		Nitric oxide prevents a pathogen-permissive granulocytic inflammation during tuberculosis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5461879/	in_vivo						TnSeq	Nos2-/-		H37Rv	Yes
mishra_NOS2_vs_mishra_C3H		2	2		Nitric oxide prevents a pathogen-permissive granulocytic inflammation during tuberculosis	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5461879/	in_vivo						TnSeq	Nos2-/- AND C3HeB		H37Rv	
carey_621_vs_carey_rv	2018_Carey_1A	14	2	Differential genetic requirements of clinical Mtb strain (ID=621) from East Asian lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			621	Yes
carey_630_vs_carey_rv	2018_Carey_1B	14	2	Differential genetic requirements of clinical Mtb strain (ID=630) from Euro-American lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			630	Yes
carey_631_vs_carey_rv	2018_Carey_1C	14	2	Differential genetic requirements of clinical Mtb strain (ID=631) from East Asian lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			631	Yes
carey_632_vs_carey_rv	2018_Carey_1D	14	2	Differential genetic requirements of clinical Mtb strain (ID=632) from East Asian lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			632	Yes
carey_641_vs_carey_rv	2018_Carey_1E	14	2	Differential genetic requirements of clinical Mtb strain (ID=641) from Indo-Oceanic lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			641	Yes
carey_662_vs_carey_rv	2018_Carey_1F	14	2	Differential genetic requirements of clinical Mtb strain (ID=662) from East Asian lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			662	Yes
carey_663_vs_carey_rv	2018_Carey_1G	14	2	Differential genetic requirements of clinical Mtb strain (ID=663) from Euro-American lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			663	Yes
carey_667_vs_carey_rv	2018_Carey_1H	14	2	Differential genetic requirements of clinical Mtb strain (ID=667) from Indo-Oceanic lineage (compared to H37Rv control)	TnSeq of Mycobacterium tuberculosis clinical isolates reveals strain-specific antibiotic liabilities	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854444/	in_vitro	7H10	glycerol				TnSeq			667	Yes
ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input	2018_Rittershaus_1B	8	8	Mutants exhibiting altered fitness in hypoxic culture (as measured after 3 weeks of culture) (compared to input pool)	A Lysine Acetyltransferase Contributes to the Metabolic Adaptation to Hypoxia in Mycobacterium tuberculosis	https://www.sciencedirect.com/science/article/pii/S2451945618303295	in_vitro	7H9	glycerol	3 weeks hypoxia			TnSeq			H37Rv	No
ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input	2018_Rittershaus_1A	8	6	Mutants exhibiting altered fitness in hypoxic culture (as measured after 6 weeks of culture) (compared to input pool)	A Lysine Acetyltransferase Contributes to the Metabolic Adaptation to Hypoxia in Mycobacterium tuberculosis	https://www.sciencedirect.com/science/article/pii/S2451945618303295	in_vitro	7H9	glycerol	6 weeks hypoxia			TnSeq			H37Rv	No
bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment		7	5		Common Variants in the Glycerol Kinase Gene Reduce Tuberculosis Drug Efficacy	https://mbio.asm.org/content/10/4/e00663-19	in_vivo						TnSeq	BALB/cJ		H37Rv	
bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment		7	5		Common Variants in the Glycerol Kinase Gene Reduce Tuberculosis Drug Efficacy	https://mbio.asm.org/content/10/4/e00663-19	in_vivo						TnSeq	BALB/cJ		H37Rv	
bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated		5	5		Common Variants in the Glycerol Kinase Gene Reduce Tuberculosis Drug Efficacy	https://mbio.asm.org/content/10/4/e00663-19	in_vivo						TnSeq	BALB/cJ		H37Rv	
minato_minimal_plate_vs_minato_rich_plate		2	2		Genomewide Assessment of Mycobacterium tuberculosis Conditionally Essential Metabolic Pathways	https://msystems.asm.org/content/4/4/e00070-19	in_vitro	rich/minimal	several				TnSeq			H37Rv	
dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0		2	3	Mutants exhibiting altered fitness in the absence of gene Rv0307c (measured after 32 days of culture)			in_vitro	7H10	glycerol		Rv0307c		TnSeq			H37Rv	
dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0		2	2	Mutants exhibiting altered fitness in the absence of gene Rv3916c (measured after 32 days of culture)			in_vitro	7H10	glycerol		Rv3916c		TnSeq			H37Rv	
Rv0950c_KO_vs_CB_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv0950c			in_vitro	7H10	glycerol		Rv0950c	Rv0950c	TnSeq			H37Rv	
Rv0954_KO_vs_RJ_WT		2	2	Mutants exhibiting altered fitness in the absence of gene Rv0954			in_vitro	7H10	glycerol		Rv0954	Rv0954	TnSeq			H37Rv	
Rv1096_KO_vs_CB_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv1096			in_vitro	7H10	glycerol		Rv1096	Rv1096	TnSeq			H37Rv	
Rv3005c_KO_day32_vs_dejesus_H37Rv_day32		3	2	Mutants exhibiting altered fitness in the absence of gene Rv3005c (measured after 32 days of culture)			in_vitro	7H10	glycerol		Rv3005c	Rv3005c	TnSeq			H37Rv	
Rv3594_KO_vs_Rubin_FLUTE_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv3594			in_vitro	7H10	glycerol		Rv3594	Rv3594	TnSeq			H37Rv	
Rv3684_KO_vs_CB_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv3684			in_vitro	7H10	glycerol		Rv3684	Rv3684	TnSeq			H37Rv	
Rv3717_KO_vs_Rubin_FLUTE_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv3717			in_vitro	7H10	glycerol		Rv3717	Rv3717	TnSeq			H37Rv	
Rv3811_KO_vs_Rubin_FLUTE_WT		1	1	Mutants exhibiting altered fitness in the absence of gene Rv3811			in_vitro	7H10	glycerol		Rv3811	Rv3811	TnSeq			H37Rv	
marP_KO_vs_marP_WT		4	4	Mutants exhibiting altered fitness in the absence of gene marP			in_vitro	7H10	glycerol			marP	TnSeq			H37Rv	
eccD1_KO_vs_mbio_H37Rv		14	1	Mutants exhibiting altered fitness in the absence of gene eccD1			in_vitro	7H10	glycerol			eccD1	TnSeq			H37Rv	
espI_KO_vs_mbio_H37Rv		14	1	Mutants exhibiting altered fitness in the absence of gene espI			in_vitro	7H10	glycerol			espI	TnSeq			H37Rv	
PE35_KO_vs_mbio_H37Rv		14	1	Mutants exhibiting altered fitness in the absence of gene PE35			in_vitro	7H10	glycerol			PE35	TnSeq			H37Rv	
PPE68_KO_vs_mbio_H37Rv		14	1	Mutants exhibiting altered fitness in the absence of gene PPE68			in_vitro	7H10	glycerol			PPE68	TnSeq			H37Rv	
